"Konum","Lokasyon_Sayisi","Yerli_Abone_Sayisi","Yabanci_Abone_Sayisi"
IETT Otobus,2594,613943,126248
FATİH,77,111711,125044
BEYOĞLU,35,85845,60064
Diger,1479,425477,19108
BEŞİKTAŞ,18,28119,8253
IETT Metrobus,548,322380,7375
KADIKÖY,24,49708,7241
ÜSKÜDAR,28,37591,5883
BAKIRKÖY,28,35130,5783
EYÜPSULTAN,34,29755,4918
Havaist Otobus,41,4025,4633
ADALAR,2,3771,3470
SARIYER,33,29932,3398
ZEYTİNBURNU,28,41365,3228
ŞİŞLİ,28,18533,2623
İSTANBUL,2,33066,1697
EYÜP SULTAN,4,9565,1218
BEYKOZ,17,11618,768
ESENLER,18,43017,753
KÜÇÜKÇEKMECE,35,54752,749
BAHÇELİEVLER,15,17471,667
PENDİK,17,26373,610
MALTEPE,14,23635,443
ÜMRANİYE,26,34803,415
KARTAL,34,24393,300
GÜNGÖREN,14,13944,267
Belnet Otobus,52,2688,238
ŞİLE,8,4939,235
AVCILAR,17,8147,231
BAYRAMPAŞA,17,12103,222
GAZİOSMANPAŞA,11,11330,187
BEYLİKDÜZÜ,12,7328,165
SANCAKTEPE,20,47592,156
SULTANBEYLİ,11,24664,145
KAĞITHANE,23,13890,125
SULTANGAZİ,19,34138,116
BAĞCILAR,10,6805,95
BÜYÜKÇEKMECE,6,2691,57
TUZLA,6,8736,57
BAŞAKŞEHİR,18,5741,42
ÇEKMEKÖY,5,5484,34
ÇATALCA,6,3555,18
ESENYURT,3,1357,15
SİLİVRİ,5,1167,13
ATAŞEHİR,8,2210,9
ARNAVUTKÖY,5,996,3
